Filename,Epsilon,Mu,Sigma,TanD,TanDFreq,EpsInfinity,DispModelEps,DispCoeff1Eps,DispCoeff2Eps,UseGeneralDispersionEps,ThermalConductivity,ThermalConductivityX,ThermalConductivityY,ThermalConductivityZ,HeatCapacity,ThermalExpansionRate,Emissivity,YoungsModulus,PoissonsRatio,Rho
Rogers RO4730G3 (lossy).mtd,2.98,1.0,N/A,0.003,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4730JXR (loss free).mtd,2.98,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4730JXR (lossy).mtd,2.98,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4830 (loss free).mtd,3.2,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4830 (lossy).mtd,3.2,1.0,N/A,0.0033,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4835 (loss free).mtd,3.66,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4835 (lossy).mtd,3.66,1.0,N/A,0.0037,10.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4835 LoPro (loss free).mtd,3.55,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4835 LoPro (lossy).mtd,3.55,1.0,N/A,0.0037,10.0,N/A,None,N/A,N/A,False,0.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5870 (loss free).mtd,2.33,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5870 (lossy).mtd,2.33,1.0,N/A,0.0012,10.0,N/A,None,N/A,N/A,False,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5880 (loss free).mtd,2.2,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5880 (lossy).mtd,2.2,1.0,N/A,0.0009,10.0,N/A,None,N/A,N/A,False,0.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5880LZ (loss free).mtd,2.0,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT5880LZ (lossy).mtd,2.0,1.0,N/A,0.0021,10.0,N/A,None,N/A,N/A,False,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6002 (loss free).mtd,2.94,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6002 (lossy).mtd,2.94,1.0,N/A,0.0012,10.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6006 (loss free).mtd,6.45,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6006 (lossy).mtd,6.45,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6010LM (loss free).mtd,10.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6010LM (lossy).mtd,10.7,1.0,N/A,0.0023,10.0,N/A,None,N/A,N/A,False,0.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6035HTC (loss free).mtd,3.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6035HTC (lossy).mtd,3.6,1.0,N/A,0.0013,10.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6202 (loss free).mtd,2.94,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6202 (lossy).mtd,2.94,1.0,N/A,0.0015,10.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6202PR (loss free).mtd,2.98,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RT6202PR (lossy).mtd,2.98,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,0.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TC350 (loss free).mtd,3.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TC350 (lossy).mtd,3.6,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TC600 (loss free).mtd,6.15,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TC600 (lossy).mtd,6.15,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 10 (loss free).mtd,9.8,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 10 (lossy).mtd,9.8,1.0,N/A,0.0022,10.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 10i (loss free).mtd,9.9,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 10i (lossy).mtd,9.9,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 13i (loss free).mtd,12.2,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 13i (lossy).mtd,12.2,1.0,N/A,0.0019,10.0,N/A,None,N/A,N/A,False,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 3 (loss free).mtd,3.45,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 3 (lossy).mtd,3.45,1.0,N/A,0.002,10.0,N/A,None,N/A,N/A,False,0.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers TMM 4 (loss free).mtd,4.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
